month,county,pid
2018-12-01,Anderson,2.0
2018-12-01,Andrews,0.0
2018-12-01,Angelina,6.0
2018-12-01,Aransas,2.0
2018-12-01,Archer,0.0
2018-12-01,Armstrong,0.0
2018-12-01,Atascosa,5.0
2018-12-01,Austin,2.0
2018-12-01,Bailey,1.0
2018-12-01,Bandera,1.0
2018-12-01,Bastrop,4.0
2018-12-01,Baylor,1.0
2018-12-01,Bee,0.0
2018-12-01,Bell,14.0
2018-12-01,Bexar,40.0
2018-12-01,Blanco,0.0
2018-12-01,Borden,0.0
2018-12-01,Bosque,2.0
2018-12-01,Bowie,7.0
2018-12-01,Brazoria,7.0
2018-12-01,Brazos,6.0
2018-12-01,Brewster,1.0
2018-12-01,Briscoe,0.0
2018-12-01,Brooks,1.0
2018-12-01,Brown,3.0
2018-12-01,Burleson,2.0
2018-12-01,Burnet,1.0
2018-12-01,Caldwell,3.0
2018-12-01,Calhoun,1.0
2018-12-01,Callahan,1.0
2018-12-01,Cameron,12.0
2018-12-01,Camp,2.0
2018-12-01,Carson,0.0
2018-12-01,Cass,2.0
2018-12-01,Castro,1.0
2018-12-01,Chambers,1.0
2018-12-01,Cherokee,6.0
2018-12-01,Childress,0.0
2018-12-01,Clay,0.0
2018-12-01,Cochran,0.0
2018-12-01,Coke,0.0
2018-12-01,Coleman,0.0
2018-12-01,Collin,21.0
2018-12-01,Collingsworth,0.0
2018-12-01,Colorado,2.0
2018-12-01,Comal,5.0
2018-12-01,Comanche,1.0
2018-12-01,Concho,0.0
2018-12-01,Cooke,5.0
2018-12-01,Coryell,3.0
2018-12-01,Cottle,0.0
2018-12-01,Crane,0.0
2018-12-01,Crockett,0.0
2018-12-01,Crosby,0.0
2018-12-01,Culberson,0.0
2018-12-01,Dallam,0.0
2018-12-01,Dallas,53.0
2018-12-01,Dawson,0.0
2018-12-01,Deaf Smith,0.0
2018-12-01,Delta,0.0
2018-12-01,Denton,15.0
2018-12-01,DeWitt,2.0
2018-12-01,Dickens,0.0
2018-12-01,Dimmit,2.0
2018-12-01,Donley,0.0
2018-12-01,Duval,1.0
2018-12-01,Eastland,2.0
2018-12-01,Ector,2.0
2018-12-01,Edwards,0.0
2018-12-01,Ellis,8.0
2018-12-01,El Paso,19.0
2018-12-01,Erath,2.0
2018-12-01,Falls,1.0
2018-12-01,Fannin,4.0
2018-12-01,Fayette,4.0
2018-12-01,Fisher,0.0
2018-12-01,Floyd,1.0
2018-12-01,Foard,0.0
2018-12-01,Fort Bend,15.0
2018-12-01,Franklin,0.0
2018-12-01,Freestone,2.0
2018-12-01,Frio,1.0
2018-12-01,Gaines,1.0
2018-12-01,Galveston,13.0
2018-12-01,Garza,0.0
2018-12-01,Gillespie,3.0
2018-12-01,Glasscock,0.0
2018-12-01,Goliad,0.0
2018-12-01,Gonzales,3.0
2018-12-01,Gray,1.0
2018-12-01,Grayson,10.0
2018-12-01,Gregg,9.0
2018-12-01,Grimes,3.0
2018-12-01,Guadalupe,4.0
2018-12-01,Hale,2.0
2018-12-01,Hall,0.0
2018-12-01,Hamilton,3.0
2018-12-01,Hansford,2.0
2018-12-01,Hardeman,0.0
2018-12-01,Hardin,5.0
2018-12-01,Harris,97.0
2018-12-01,Harrison,3.0
2018-12-01,Hartley,0.0
2018-12-01,Haskell,0.0
2018-12-01,Hays,6.0
2018-12-01,Hemphill,0.0
2018-12-01,Henderson,5.0
2018-12-01,Hidalgo,16.0
2018-12-01,Hill,4.0
2018-12-01,Hockley,2.0
2018-12-01,Hood,4.0
2018-12-01,Hopkins,4.0
2018-12-01,Houston,2.0
2018-12-01,Howard,1.0
2018-12-01,Hudspeth,0.0
2018-12-01,Hunt,4.0
2018-12-01,Hutchinson,2.0
2018-12-01,Irion,0.0
2018-12-01,Jack,0.0
2018-12-01,Jackson,2.0
2018-12-01,Jasper,3.0
2018-12-01,Jeff Davis,0.0
2018-12-01,Jefferson,8.0
2018-12-01,Jim Hogg,0.0
2018-12-01,Jim Wells,1.0
2018-12-01,Johnson,7.0
2018-12-01,Jones,0.0
2018-12-01,Karnes,0.0
2018-12-01,Kaufman,2.0
2018-12-01,Kendall,3.0
2018-12-01,Kenedy,0.0
2018-12-01,Kent,0.0
2018-12-01,Kerr,6.0
2018-12-01,Kimble,1.0
2018-12-01,King,0.0
2018-12-01,Kinney,0.0
2018-12-01,Kleberg,1.0
2018-12-01,Knox,0.0
2018-12-01,Lamar,5.0
2018-12-01,Lamb,2.0
2018-12-01,Lampasas,2.0
2018-12-01,La Salle,0.0
2018-12-01,Lavaca,4.0
2018-12-01,Lee,2.0
2018-12-01,Leon,0.0
2018-12-01,Liberty,4.0
2018-12-01,Limestone,5.0
2018-12-01,Lipscomb,0.0
2018-12-01,Live Oak,1.0
2018-12-01,Llano,2.0
2018-12-01,Loving,0.0
2018-12-01,Lubbock,10.0
2018-12-01,Lynn,1.0
2018-12-01,McCulloch,0.0
2018-12-01,McLennan,14.0
2018-12-01,McMullen,0.0
2018-12-01,Madison,2.0
2018-12-01,Marion,2.0
2018-12-01,Martin,0.0
2018-12-01,Mason,0.0
2018-12-01,Matagorda,2.0
2018-12-01,Maverick,2.0
2018-12-01,Medina,1.0
2018-12-01,Menard,0.0
2018-12-01,Midland,2.0
2018-12-01,Milam,2.0
2018-12-01,Mills,0.0
2018-12-01,Mitchell,0.0
2018-12-01,Montague,1.0
2018-12-01,Montgomery,6.0
2018-12-01,Moore,0.0
2018-12-01,Morris,1.0
2018-12-01,Motley,0.0
2018-12-01,Nacogdoches,6.0
2018-12-01,Navarro,5.0
2018-12-01,Newton,0.0
2018-12-01,Nolan,1.0
2018-12-01,Nueces,9.0
2018-12-01,Ochiltree,1.0
2018-12-01,Oldham,0.0
2018-12-01,Orange,2.0
2018-12-01,Palo Pinto,3.0
2018-12-01,Panola,2.0
2018-12-01,Parker,7.0
2018-12-01,Parmer,1.0
2018-12-01,Pecos,1.0
2018-12-01,Polk,3.0
2018-12-01,Potter,7.0
2018-12-01,Presidio,0.0
2018-12-01,Rains,0.0
2018-12-01,Randall,3.0
2018-12-01,Reagan,0.0
2018-12-01,Real,0.0
2018-12-01,Red River,2.0
2018-12-01,Reeves,0.0
2018-12-01,Refugio,1.0
2018-12-01,Roberts,0.0
2018-12-01,Robertson,2.0
2018-12-01,Rockwall,5.0
2018-12-01,Runnels,0.0
2018-12-01,Rusk,2.0
2018-12-01,Sabine,1.0
2018-12-01,San Augustine,3.0
2018-12-01,San Jacinto,1.0
2018-12-01,San Patricio,2.0
2018-12-01,San Saba,0.0
2018-12-01,Schleicher,0.0
2018-12-01,Scurry,1.0
2018-12-01,Shackelford,0.0
2018-12-01,Shelby,3.0
2018-12-01,Sherman,0.0
2018-12-01,Smith,13.0
2018-12-01,Somervell,2.0
2018-12-01,Starr,2.0
2018-12-01,Stephens,0.0
2018-12-01,Sterling,0.0
2018-12-01,Stonewall,0.0
2018-12-01,Sutton,0.0
2018-12-01,Swisher,0.0
2018-12-01,Tarrant,57.0
2018-12-01,Taylor,7.0
2018-12-01,Terrell,0.0
2018-12-01,Terry,0.0
2018-12-01,Throckmorton,0.0
2018-12-01,Titus,2.0
2018-12-01,Tom Green,5.0
2018-12-01,Travis,25.0
2018-12-01,Trinity,3.0
2018-12-01,Tyler,1.0
2018-12-01,Upshur,2.0
2018-12-01,Upton,0.0
2018-12-01,Uvalde,3.0
2018-12-01,Val Verde,3.0
2018-12-01,Van Zandt,4.0
2018-12-01,Victoria,3.0
2018-12-01,Walker,3.0
2018-12-01,Waller,0.0
2018-12-01,Ward,1.0
2018-12-01,Washington,3.0
2018-12-01,Webb,4.0
2018-12-01,Wharton,2.0
2018-12-01,Wheeler,0.0
2018-12-01,Wichita,8.0
2018-12-01,Wilbarger,1.0
2018-12-01,Willacy,1.0
2018-12-01,Williamson,14.0
2018-12-01,Wilson,3.0
2018-12-01,Winkler,1.0
2018-12-01,Wise,3.0
2018-12-01,Wood,2.0
2018-12-01,Yoakum,0.0
2018-12-01,Young,2.0
2018-12-01,Zapata,0.0
2018-12-01,Zavala,0.0
2019-01-01,Anderson,5.0
2019-01-01,Andrews,0.0
2019-01-01,Angelina,7.0
2019-01-01,Aransas,2.0
2019-01-01,Archer,0.0
2019-01-01,Armstrong,0.0
2019-01-01,Atascosa,5.0
2019-01-01,Austin,2.0
2019-01-01,Bailey,1.0
2019-01-01,Bandera,1.0
2019-01-01,Bastrop,4.0
2019-01-01,Baylor,1.0
2019-01-01,Bee,1.0
2019-01-01,Bell,14.0
2019-01-01,Bexar,51.0
2019-01-01,Blanco,0.0
2019-01-01,Borden,0.0
2019-01-01,Bosque,3.0
2019-01-01,Bowie,7.0
2019-01-01,Brazoria,8.0
2019-01-01,Brazos,6.0
2019-01-01,Brewster,1.0
2019-01-01,Briscoe,0.0
2019-01-01,Brooks,1.0
2019-01-01,Brown,4.0
2019-01-01,Burleson,3.0
2019-01-01,Burnet,2.0
2019-01-01,Caldwell,4.0
2019-01-01,Calhoun,1.0
2019-01-01,Callahan,1.0
2019-01-01,Cameron,12.0
2019-01-01,Camp,2.0
2019-01-01,Carson,0.0
2019-01-01,Cass,4.0
2019-01-01,Castro,1.0
2019-01-01,Chambers,1.0
2019-01-01,Cherokee,6.0
2019-01-01,Childress,0.0
2019-01-01,Clay,0.0
2019-01-01,Cochran,0.0
2019-01-01,Coke,2.0
2019-01-01,Coleman,1.0
2019-01-01,Collin,25.0
2019-01-01,Collingsworth,0.0
2019-01-01,Colorado,3.0
2019-01-01,Comal,6.0
2019-01-01,Comanche,2.0
2019-01-01,Concho,0.0
2019-01-01,Cooke,4.0
2019-01-01,Coryell,3.0
2019-01-01,Cottle,0.0
2019-01-01,Crane,0.0
2019-01-01,Crockett,0.0
2019-01-01,Crosby,0.0
2019-01-01,Culberson,0.0
2019-01-01,Dallam,0.0
2019-01-01,Dallas,67.0
2019-01-01,Dawson,1.0
2019-01-01,Deaf Smith,0.0
2019-01-01,Delta,0.0
2019-01-01,Denton,16.0
2019-01-01,DeWitt,3.0
2019-01-01,Dickens,0.0
2019-01-01,Dimmit,2.0
2019-01-01,Donley,0.0
2019-01-01,Duval,1.0
2019-01-01,Eastland,4.0
2019-01-01,Ector,3.0
2019-01-01,Edwards,0.0
2019-01-01,Ellis,9.0
2019-01-01,El Paso,19.0
2019-01-01,Erath,2.0
2019-01-01,Falls,1.0
2019-01-01,Fannin,4.0
2019-01-01,Fayette,3.0
2019-01-01,Fisher,0.0
2019-01-01,Floyd,1.0
2019-01-01,Foard,0.0
2019-01-01,Fort Bend,18.0
2019-01-01,Franklin,0.0
2019-01-01,Freestone,2.0
2019-01-01,Frio,1.0
2019-01-01,Gaines,1.0
2019-01-01,Galveston,13.0
2019-01-01,Garza,1.0
2019-01-01,Gillespie,4.0
2019-01-01,Glasscock,0.0
2019-01-01,Goliad,0.0
2019-01-01,Gonzales,3.0
2019-01-01,Gray,1.0
2019-01-01,Grayson,10.0
2019-01-01,Gregg,11.0
2019-01-01,Grimes,3.0
2019-01-01,Guadalupe,5.0
2019-01-01,Hale,2.0
2019-01-01,Hall,0.0
2019-01-01,Hamilton,4.0
2019-01-01,Hansford,2.0
2019-01-01,Hardeman,0.0
2019-01-01,Hardin,5.0
2019-01-01,Harris,103.0
2019-01-01,Harrison,3.0
2019-01-01,Hartley,0.0
2019-01-01,Haskell,0.0
2019-01-01,Hays,6.0
2019-01-01,Hemphill,0.0
2019-01-01,Henderson,5.0
2019-01-01,Hidalgo,17.0
2019-01-01,Hill,4.0
2019-01-01,Hockley,2.0
2019-01-01,Hood,4.0
2019-01-01,Hopkins,4.0
2019-01-01,Houston,3.0
2019-01-01,Howard,2.0
2019-01-01,Hudspeth,0.0
2019-01-01,Hunt,4.0
2019-01-01,Hutchinson,2.0
2019-01-01,Irion,0.0
2019-01-01,Jack,1.0
2019-01-01,Jackson,1.0
2019-01-01,Jasper,3.0
2019-01-01,Jeff Davis,0.0
2019-01-01,Jefferson,9.0
2019-01-01,Jim Hogg,0.0
2019-01-01,Jim Wells,2.0
2019-01-01,Johnson,7.0
2019-01-01,Jones,0.0
2019-01-01,Karnes,1.0
2019-01-01,Kaufman,4.0
2019-01-01,Kendall,4.0
2019-01-01,Kenedy,0.0
2019-01-01,Kent,0.0
2019-01-01,Kerr,7.0
2019-01-01,Kimble,1.0
2019-01-01,King,0.0
2019-01-01,Kinney,0.0
2019-01-01,Kleberg,1.0
2019-01-01,Knox,0.0
2019-01-01,Lamar,5.0
2019-01-01,Lamb,2.0
2019-01-01,Lampasas,3.0
2019-01-01,La Salle,0.0
2019-01-01,Lavaca,6.0
2019-01-01,Lee,2.0
2019-01-01,Leon,0.0
2019-01-01,Liberty,4.0
2019-01-01,Limestone,6.0
2019-01-01,Lipscomb,0.0
2019-01-01,Live Oak,1.0
2019-01-01,Llano,2.0
2019-01-01,Loving,0.0
2019-01-01,Lubbock,9.0
2019-01-01,Lynn,1.0
2019-01-01,McCulloch,1.0
2019-01-01,McLennan,13.0
2019-01-01,McMullen,0.0
2019-01-01,Madison,1.0
2019-01-01,Marion,2.0
2019-01-01,Martin,0.0
2019-01-01,Mason,0.0
2019-01-01,Matagorda,3.0
2019-01-01,Maverick,2.0
2019-01-01,Medina,3.0
2019-01-01,Menard,0.0
2019-01-01,Midland,3.0
2019-01-01,Milam,2.0
2019-01-01,Mills,0.0
2019-01-01,Mitchell,0.0
2019-01-01,Montague,2.0
2019-01-01,Montgomery,8.0
2019-01-01,Moore,0.0
2019-01-01,Morris,1.0
2019-01-01,Motley,0.0
2019-01-01,Nacogdoches,6.0
2019-01-01,Navarro,5.0
2019-01-01,Newton,1.0
2019-01-01,Nolan,1.0
2019-01-01,Nueces,9.0
2019-01-01,Ochiltree,1.0
2019-01-01,Oldham,0.0
2019-01-01,Orange,3.0
2019-01-01,Palo Pinto,3.0
2019-01-01,Panola,2.0
2019-01-01,Parker,7.0
2019-01-01,Parmer,1.0
2019-01-01,Pecos,1.0
2019-01-01,Polk,4.0
2019-01-01,Potter,7.0
2019-01-01,Presidio,0.0
2019-01-01,Rains,1.0
2019-01-01,Randall,3.0
2019-01-01,Reagan,0.0
2019-01-01,Real,0.0
2019-01-01,Red River,2.0
2019-01-01,Reeves,0.0
2019-01-01,Refugio,1.0
2019-01-01,Roberts,0.0
2019-01-01,Robertson,2.0
2019-01-01,Rockwall,5.0
2019-01-01,Runnels,1.0
2019-01-01,Rusk,2.0
2019-01-01,Sabine,1.0
2019-01-01,San Augustine,3.0
2019-01-01,San Jacinto,1.0
2019-01-01,San Patricio,2.0
2019-01-01,San Saba,0.0
2019-01-01,Schleicher,0.0
2019-01-01,Scurry,2.0
2019-01-01,Shackelford,0.0
2019-01-01,Shelby,3.0
2019-01-01,Sherman,0.0
2019-01-01,Smith,13.0
2019-01-01,Somervell,2.0
2019-01-01,Starr,2.0
2019-01-01,Stephens,1.0
2019-01-01,Sterling,0.0
2019-01-01,Stonewall,1.0
2019-01-01,Sutton,0.0
2019-01-01,Swisher,1.0
2019-01-01,Tarrant,65.0
2019-01-01,Taylor,7.0
2019-01-01,Terrell,0.0
2019-01-01,Terry,0.0
2019-01-01,Throckmorton,0.0
2019-01-01,Titus,3.0
2019-01-01,Tom Green,5.0
2019-01-01,Travis,27.0
2019-01-01,Trinity,3.0
2019-01-01,Tyler,2.0
2019-01-01,Upshur,2.0
2019-01-01,Upton,0.0
2019-01-01,Uvalde,3.0
2019-01-01,Val Verde,3.0
2019-01-01,Van Zandt,5.0
2019-01-01,Victoria,4.0
2019-01-01,Walker,3.0
2019-01-01,Waller,0.0
2019-01-01,Ward,1.0
2019-01-01,Washington,4.0
2019-01-01,Webb,5.0
2019-01-01,Wharton,4.0
2019-01-01,Wheeler,1.0
2019-01-01,Wichita,12.0
2019-01-01,Wilbarger,2.0
2019-01-01,Willacy,1.0
2019-01-01,Williamson,15.0
2019-01-01,Wilson,3.0
2019-01-01,Winkler,1.0
2019-01-01,Wise,3.0
2019-01-01,Wood,6.0
2019-01-01,Yoakum,1.0
2019-01-01,Young,2.0
2019-01-01,Zapata,0.0
2019-01-01,Zavala,0.0
2019-02-01,Anderson,5.0
2019-02-01,Andrews,0.0
2019-02-01,Angelina,8.0
2019-02-01,Aransas,2.0
2019-02-01,Archer,0.0
2019-02-01,Armstrong,0.0
2019-02-01,Atascosa,4.0
2019-02-01,Austin,2.0
2019-02-01,Bailey,1.0
2019-02-01,Bandera,1.0
2019-02-01,Bastrop,4.0
2019-02-01,Baylor,1.0
2019-02-01,Bee,2.0
2019-02-01,Bell,9.0
2019-02-01,Bexar,54.0
2019-02-01,Blanco,0.0
2019-02-01,Borden,0.0
2019-02-01,Bosque,3.0
2019-02-01,Bowie,7.0
2019-02-01,Brazoria,8.0
2019-02-01,Brazos,4.0
2019-02-01,Brewster,0.0
2019-02-01,Briscoe,0.0
2019-02-01,Brooks,1.0
2019-02-01,Brown,4.0
2019-02-01,Burleson,3.0
2019-02-01,Burnet,2.0
2019-02-01,Caldwell,4.0
2019-02-01,Calhoun,2.0
2019-02-01,Callahan,1.0
2019-02-01,Cameron,12.0
2019-02-01,Camp,2.0
2019-02-01,Carson,0.0
2019-02-01,Cass,5.0
2019-02-01,Castro,1.0
2019-02-01,Chambers,1.0
2019-02-01,Cherokee,6.0
2019-02-01,Childress,1.0
2019-02-01,Clay,0.0
2019-02-01,Cochran,0.0
2019-02-01,Coke,2.0
2019-02-01,Coleman,1.0
2019-02-01,Collin,26.0
2019-02-01,Collingsworth,0.0
2019-02-01,Colorado,4.0
2019-02-01,Comal,6.0
2019-02-01,Comanche,2.0
2019-02-01,Concho,0.0
2019-02-01,Cooke,5.0
2019-02-01,Coryell,4.0
2019-02-01,Cottle,0.0
2019-02-01,Crane,0.0
2019-02-01,Crockett,0.0
2019-02-01,Crosby,1.0
2019-02-01,Culberson,0.0
2019-02-01,Dallam,0.0
2019-02-01,Dallas,67.0
2019-02-01,Dawson,1.0
2019-02-01,Deaf Smith,0.0
2019-02-01,Delta,0.0
2019-02-01,Denton,16.0
2019-02-01,DeWitt,3.0
2019-02-01,Dickens,0.0
2019-02-01,Dimmit,2.0
2019-02-01,Donley,0.0
2019-02-01,Duval,1.0
2019-02-01,Eastland,5.0
2019-02-01,Ector,4.0
2019-02-01,Edwards,0.0
2019-02-01,Ellis,9.0
2019-02-01,El Paso,19.0
2019-02-01,Erath,2.0
2019-02-01,Falls,1.0
2019-02-01,Fannin,4.0
2019-02-01,Fayette,4.0
2019-02-01,Fisher,0.0
2019-02-01,Floyd,1.0
2019-02-01,Foard,1.0
2019-02-01,Fort Bend,17.0
2019-02-01,Franklin,0.0
2019-02-01,Freestone,2.0
2019-02-01,Frio,1.0
2019-02-01,Gaines,1.0
2019-02-01,Galveston,13.0
2019-02-01,Garza,1.0
2019-02-01,Gillespie,4.0
2019-02-01,Glasscock,0.0
2019-02-01,Goliad,0.0
2019-02-01,Gonzales,3.0
2019-02-01,Gray,1.0
2019-02-01,Grayson,9.0
2019-02-01,Gregg,10.0
2019-02-01,Grimes,3.0
2019-02-01,Guadalupe,5.0
2019-02-01,Hale,2.0
2019-02-01,Hall,0.0
2019-02-01,Hamilton,4.0
2019-02-01,Hansford,0.0
2019-02-01,Hardeman,0.0
2019-02-01,Hardin,3.0
2019-02-01,Harris,107.0
2019-02-01,Harrison,3.0
2019-02-01,Hartley,0.0
2019-02-01,Haskell,1.0
2019-02-01,Hays,5.0
2019-02-01,Hemphill,0.0
2019-02-01,Henderson,5.0
2019-02-01,Hidalgo,20.0
2019-02-01,Hill,5.0
2019-02-01,Hockley,2.0
2019-02-01,Hood,4.0
2019-02-01,Hopkins,3.0
2019-02-01,Houston,4.0
2019-02-01,Howard,1.0
2019-02-01,Hudspeth,0.0
2019-02-01,Hunt,5.0
2019-02-01,Hutchinson,2.0
2019-02-01,Irion,0.0
2019-02-01,Jack,1.0
2019-02-01,Jackson,2.0
2019-02-01,Jasper,3.0
2019-02-01,Jeff Davis,0.0
2019-02-01,Jefferson,10.0
2019-02-01,Jim Hogg,1.0
2019-02-01,Jim Wells,2.0
2019-02-01,Johnson,7.0
2019-02-01,Jones,0.0
2019-02-01,Karnes,2.0
2019-02-01,Kaufman,5.0
2019-02-01,Kendall,4.0
2019-02-01,Kenedy,0.0
2019-02-01,Kent,0.0
2019-02-01,Kerr,7.0
2019-02-01,Kimble,1.0
2019-02-01,King,0.0
2019-02-01,Kinney,0.0
2019-02-01,Kleberg,2.0
2019-02-01,Knox,0.0
2019-02-01,Lamar,4.0
2019-02-01,Lamb,1.0
2019-02-01,Lampasas,3.0
2019-02-01,La Salle,0.0
2019-02-01,Lavaca,5.0
2019-02-01,Lee,0.0
2019-02-01,Leon,1.0
2019-02-01,Liberty,4.0
2019-02-01,Limestone,7.0
2019-02-01,Lipscomb,0.0
2019-02-01,Live Oak,1.0
2019-02-01,Llano,2.0
2019-02-01,Loving,0.0
2019-02-01,Lubbock,10.0
2019-02-01,Lynn,1.0
2019-02-01,McCulloch,1.0
2019-02-01,McLennan,12.0
2019-02-01,McMullen,0.0
2019-02-01,Madison,1.0
2019-02-01,Marion,2.0
2019-02-01,Martin,0.0
2019-02-01,Mason,0.0
2019-02-01,Matagorda,4.0
2019-02-01,Maverick,2.0
2019-02-01,Medina,4.0
2019-02-01,Menard,0.0
2019-02-01,Midland,3.0
2019-02-01,Milam,0.0
2019-02-01,Mills,0.0
2019-02-01,Mitchell,0.0
2019-02-01,Montague,2.0
2019-02-01,Montgomery,7.0
2019-02-01,Moore,0.0
2019-02-01,Morris,1.0
2019-02-01,Motley,0.0
2019-02-01,Nacogdoches,6.0
2019-02-01,Navarro,4.0
2019-02-01,Newton,1.0
2019-02-01,Nolan,1.0
2019-02-01,Nueces,8.0
2019-02-01,Ochiltree,0.0
2019-02-01,Oldham,0.0
2019-02-01,Orange,3.0
2019-02-01,Palo Pinto,3.0
2019-02-01,Panola,2.0
2019-02-01,Parker,7.0
2019-02-01,Parmer,1.0
2019-02-01,Pecos,2.0
2019-02-01,Polk,4.0
2019-02-01,Potter,7.0
2019-02-01,Presidio,0.0
2019-02-01,Rains,1.0
2019-02-01,Randall,3.0
2019-02-01,Reagan,0.0
2019-02-01,Real,0.0
2019-02-01,Red River,2.0
2019-02-01,Reeves,0.0
2019-02-01,Refugio,1.0
2019-02-01,Roberts,0.0
2019-02-01,Robertson,2.0
2019-02-01,Rockwall,4.0
2019-02-01,Runnels,1.0
2019-02-01,Rusk,2.0
2019-02-01,Sabine,1.0
2019-02-01,San Augustine,3.0
2019-02-01,San Jacinto,1.0
2019-02-01,San Patricio,2.0
2019-02-01,San Saba,0.0
2019-02-01,Schleicher,0.0
2019-02-01,Scurry,2.0
2019-02-01,Shackelford,0.0
2019-02-01,Shelby,3.0
2019-02-01,Sherman,0.0
2019-02-01,Smith,12.0
2019-02-01,Somervell,2.0
2019-02-01,Starr,2.0
2019-02-01,Stephens,1.0
2019-02-01,Sterling,1.0
2019-02-01,Stonewall,1.0
2019-02-01,Sutton,0.0
2019-02-01,Swisher,1.0
2019-02-01,Tarrant,64.0
2019-02-01,Taylor,6.0
2019-02-01,Terrell,0.0
2019-02-01,Terry,1.0
2019-02-01,Throckmorton,0.0
2019-02-01,Titus,3.0
2019-02-01,Tom Green,5.0
2019-02-01,Travis,24.0
2019-02-01,Trinity,3.0
2019-02-01,Tyler,2.0
2019-02-01,Upshur,2.0
2019-02-01,Upton,0.0
2019-02-01,Uvalde,2.0
2019-02-01,Val Verde,3.0
2019-02-01,Van Zandt,5.0
2019-02-01,Victoria,4.0
2019-02-01,Walker,4.0
2019-02-01,Waller,0.0
2019-02-01,Ward,1.0
2019-02-01,Washington,4.0
2019-02-01,Webb,4.0
2019-02-01,Wharton,3.0
2019-02-01,Wheeler,1.0
2019-02-01,Wichita,13.0
2019-02-01,Wilbarger,2.0
2019-02-01,Willacy,1.0
2019-02-01,Williamson,14.0
2019-02-01,Wilson,3.0
2019-02-01,Winkler,0.0
2019-02-01,Wise,3.0
2019-02-01,Wood,5.0
2019-02-01,Yoakum,2.0
2019-02-01,Young,2.0
2019-02-01,Zapata,0.0
